Data inicial,Hora inicial,Data final,Hora final,Total hores,Espai,Estudi,Activitat,Alumnes matriculats,Modalitat docencia,Observacions
02/02/2023,09:30,02/02/2023,16:00,"6,5",QC/3115.5,,461-01 Reuni� Miquel Angel Piera,0, , 
02/02/2023,12:00,02/02/2023,13:30,"1,5",QC/0029,,#QuantumBarcelona,0, , 
02/02/2023,12:00,02/02/2023,14:00,2,QC/3115.3,,463-20 Revisi� ex�mens Arantxa Aranzazu,0, , 
02/02/2023,12:00,02/02/2023,15:00,3,Q1/1011,,958-03 102753 Visualitzaci� gr�fica interactiva,0, , 
02/02/2023,12:00,02/02/2023,15:00,3,Q3/1003,,1365-03 102683 Radiaci� i ones guiades,0, , 
02/02/2023,12:00,02/02/2023,15:00,3,Q3/1011,,1365-03 102683 Radiaci� i ones guiades,0, , 
02/02/2023,12:00,02/02/2023,15:00,3,Q3/1007,,1365-03 102683 Radiaci� i ones guiades,0, , 
02/02/2023,15:00,02/02/2023,18:00,3,Q4/1003,,1268-20 TAV (MEUBA),0, , 
02/02/2023,15:00,02/02/2023,19:00,4,Q2/1013,,958-03 102771 EE,0, , 
02/02/2023,15:00,02/02/2023,19:00,4,Q4/0011,,1394-03 104364 An�lisi estad�stic,0, , 
02/02/2023,15:00,02/02/2023,19:00,4,Q1/1003,,1395-03 104542 Mobilitzaci� log�stica i transports,0, , 
02/02/2023,15:00,02/02/2023,19:00,4,Q4/0007,,951-03 102438 Ci�ncia de materials,0, , 
02/02/2023,15:00,02/02/2023,19:00,4,Q4/0003,,951-03 102438 Ci�ncia de materials,0, , 
02/02/2023,15:00,02/02/2023,19:00,4,Q1/1011,,1467-03 106508 Cognitive processes,0, , 
02/02/2023,15:00,02/02/2023,19:00,4,Q3/1007,,958-03 102771 EE,0, , 
02/02/2023,15:00,02/02/2023,19:00,4,Q3/1011,,958-03 102771 EE,0, , 
02/02/2023,15:00,02/02/2023,19:00,4,Q3/1003,,958-03 102771 EE,0, , 
02/02/2023,15:00,02/02/2023,20:00,5,QC/3115.4,,115-18 Ritsi Laia vilardell,0, , 
02/02/2023,15:30,02/02/2023,19:30,4,QC/3115.1,,1497-10 Revisi� ex�mens Ivan Redondo,0, , 
03/02/2023,08:00,03/02/2023,14:30,"6,5",QC/3115.1,,"463-20 Introducci� a la Sostenibilitat Ambiental, Ramon Vilanova",0, , 
03/02/2023,08:00,03/02/2023,16:00,8,QC/0011,,600-12 instal�laci� videowall,0, , 
03/02/2023,08:00,03/02/2023,21:00,13,QC/3115.5,,115-18 Ritsi Laia vilardell,0, , 
03/02/2023,08:00,03/02/2023,21:00,13,Q4/1003,,115-18 Ritsi Laia vilardell,0, , 
03/02/2023,08:30,03/02/2023,20:30,12,Q1/0007,,958-03 102742 Tecnol.desenv. internet i web (examen PLAB),0, , 
03/02/2023,08:30,03/02/2023,20:30,12,Q1/0019,,958-03 102742 Tecnol.desenv. internet i web (examen PLAB),0, , 
03/02/2023,09:00,03/02/2023,12:00,3,Q4/0003,,958-03 102763 Requisits del software,0, , 
03/02/2023,09:00,03/02/2023,12:00,3,Q3/1011,,1365-03 103796 C�lcul,0, , 
03/02/2023,09:00,03/02/2023,12:00,3,Q2/1013,,1365-03 103796 C�lcul,0, , 
03/02/2023,09:00,03/02/2023,12:00,3,Q4/0011,,951-03 106042 Estad�stica,0, , 
03/02/2023,09:00,03/02/2023,12:00,3,Q4/0007,,658-03 102763 Requisits del software,0, , 
03/02/2023,09:00,03/02/2023,12:00,3,Q3/1003,,1365-03 103796 C�lcul,0, , 
03/02/2023,09:00,03/02/2023,12:00,3,Q3/1007,,1365-03 103796 C�lcul,0, , 
03/02/2023,09:00,03/02/2023,13:00,4,QC/3115.4,,461-20 Inauguraci� curs formaci� Ramon Vilanova,0, , 
03/02/2023,09:00,03/02/2023,15:00,6,Q2/1003,,951-03 102407 Enginyeria bioqu�mica,0, , 
03/02/2023,09:00,03/02/2023,20:30,"11,5",Q1/0003,,115-18 Ritsi Laia vilardell,0, , 
03/02/2023,09:30,03/02/2023,12:00,"2,5",QC/0019,,1395-06 Presentaci� pr�via de tesi,0, , 
03/02/2023,11:30,03/02/2023,14:00,"2,5",Q4/1005,,951-03 106042 Estad�stica,0, ,Espai extra per alumne PIUNE
03/02/2023,12:00,03/02/2023,13:30,"1,5",Q1/1003,,115-20 Junta Escola Extraordin�ria,0, , 
03/02/2023,12:00,03/02/2023,15:00,3,Q4/0003,,958-03 102740 Sistemes distribuits,0, , 
03/02/2023,12:00,03/02/2023,15:00,3,Q3/1003,,1365-03 103796 C�lcul,0, , 
03/02/2023,12:00,03/02/2023,15:00,3,Q4/0011,,1394-03 104347 Estructura de dades,0, , 
03/02/2023,12:00,03/02/2023,15:00,3,Q2/1013,,1365-03 103796 C�lcul,0, , 
03/02/2023,12:00,03/02/2023,15:00,3,Q3/0003,,1365-03 103519 Electr�nica de transmissors i receptors,0, , 
03/02/2023,12:00,03/02/2023,15:00,3,Q4/0007,,958-03 102740 Sistemes distribuits,0, , 
03/02/2023,12:00,03/02/2023,15:00,3,Q3/1011,,1365-03 103796 C�lcul,0, , 
03/02/2023,12:00,03/02/2023,15:00,3,Q3/1007,,1365-03 103796 C�lcul,0, , 
03/02/2023,13:30,03/02/2023,14:30,1,Q3/0013,6084 Enginyeria de Telecomunicaci� / Telecommunication Engineering,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
 , , , , ,Q3/0013,10088 Enginyeria Inform�tica i Enginyeria de Sistemes de Telecomunicaci�,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
 , , , , ,Q3/0013,10063 Enginyeria Electr�nica de Telecomunicaci�,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
 , , , , ,Q3/0013,10064 Enginyeria de Sistemes de Telecomunicaci�,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
 , , , , ,Q3/0013,10100 Enginyeria Electr�nica de Telecomunicaci� + Enginyeria de Sistemes de Telecomunicaci�,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
 , , , , ,Q3/0013,10089 Enginyeria Inform�tica i Enginyeria Electr�nica de Telecomunicaci�,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
03/02/2023,15:00,03/02/2023,17:00,2,Q3/0013,10109 Enginyeria de Dades,104361 Aprenentatge Computacional - 811,54, , 
03/02/2023,15:00,03/02/2023,18:00,3,Q4/1005,,1268- 20 BS (MUEBA),0, , 
03/02/2023,15:00,03/02/2023,19:00,4,Q3/1011,,958-03 102744 Bases de dades,0, , 
03/02/2023,15:00,03/02/2023,19:00,4,Q2/1013,,958-03 102744 Bases de dades,0, , 
03/02/2023,15:00,03/02/2023,19:00,4,Q3/1007,,958-03 102744 Bases de dades,0, , 
03/02/2023,15:00,03/02/2023,19:00,4,Q3/1003,,958-03 102744 Bases de dades,0, , 
03/02/2023,15:00,03/02/2023,19:00,4,Q4/0007,,1461-03 106581 Fundamentals of computer vision,0, , 
03/02/2023,16:00,03/02/2023,17:30,"1,5",QC/0011,,115-18 Ritsi Laia vilardell,0, , 
03/02/2023,16:00,03/02/2023,17:30,"1,5",QC/3115.3,,115-18 Ritsi Laia vilardell,0, , 
03/02/2023,16:00,03/02/2023,17:30,"1,5",QC/0015,,115-18 Ritsi Laia vilardell,0, , 
03/02/2023,16:00,03/02/2023,17:30,"1,5",QC/3115.1,,115-18 Ritsi Laia vilardell,0, , 
03/02/2023,16:00,03/02/2023,17:30,"1,5",QC/0019,,115-18 Ritsi Laia vilardell,0, , 
03/02/2023,16:00,03/02/2023,17:30,"1,5",QC/3115.2,,115-18 Ritsi Laia vilardell,0, , 
03/02/2023,17:00,03/02/2023,19:00,2,Q4/0011,,1395-03 104535 Bases de datos,0, , 
03/02/2023,18:30,03/02/2023,20:30,2,QC/3115.1,,115-18 Ritsi Laia vilardell,0, , 
03/02/2023,18:30,03/02/2023,20:30,2,QC/3115.2,,115-18 Ritsi Laia vilardell,0, , 
04/02/2023,08:00,04/02/2023,21:00,13,QC/0019,,115-18 Ritsi Laia vilardell,0, , 
04/02/2023,08:00,04/02/2023,21:00,13,Q4/1003,,115-18 Ritsi Laia vilardell,0, , 
04/02/2023,09:00,04/02/2023,19:00,10,Q1/0003,,115-18 Ritsi Laia vilardell,0, , 
06/02/2023,08:30,06/02/2023,20:30,12,Q1/0007,,958-03 102742 Tecnol.desenv. internet i web (examen PLAB),0, , 
06/02/2023,08:30,06/02/2023,20:30,12,Q1/0019,,958-03 102742 Tecnol.desenv. internet i web (examen PLAB),0, , 
06/02/2023,10:00,06/02/2023,12:30,"2,5",QC/0011,,951-06 Presentacions PEXT,0, , 
06/02/2023,10:00,06/02/2023,13:00,3,QC/0019,,2634-01 Xerrades compostatge en el marc del M�ster de la Red Esp,0, ,Xerrades compostatge en el marc del M�ster de la Red Espa�ola de Compostaje
06/02/2023,12:30,06/02/2023,13:30,1,Q3/0009,10089 Enginyeria Inform�tica i Enginyeria Electr�nica de Telecomunicaci�,102747 Sistemes Operatius - 431,Sense grup de matricula, , 
 , , , , ,Q3/0009,10088 Enginyeria Inform�tica i Enginyeria de Sistemes de Telecomunicaci�,102747 Sistemes Operatius - 431,Sense grup de matricula, , 
 , , , , ,Q3/0009,10062 Enginyeria Inform�tica,102747 Sistemes Operatius - 431,Sense grup de matricula, , 
06/02/2023,15:00,06/02/2023,18:00,3,Q4/1003,,1268-20 TAV (MEUBA),0, , 
06/02/2023,15:00,06/02/2023,18:00,3,Q4/1005,,1268- 20 BS (MUEBA),0, , 
07/02/2023,08:30,07/02/2023,20:30,12,Q1/0007,,958-03 102742 Tecnol.desenv. internet i web (examen PLAB),0, , 
07/02/2023,08:30,07/02/2023,20:30,12,Q1/0019,,958-03 102742 Tecnol.desenv. internet i web (examen PLAB),0, , 
07/02/2023,09:30,07/02/2023,11:00,"1,5",Q1/0003,,1395-06 Assaig presentaci� de tesi,0, , 
07/02/2023,09:30,07/02/2023,11:30,2,QC/0029,,2634-01 Reuni� executiva DEQBA,0, , 
07/02/2023,10:00,07/02/2023,13:00,3,QC/0019,,2634-01 Xerrades compostatge en el marc del M�ster de la Red Esp,0, ,Xerrades compostatge en el marc del M�ster de la Red Espa�ola de Compostaje
07/02/2023,10:00,07/02/2023,13:00,3,QC/0015,,004-01 ESA-MPP follow up meeting,0, , 
07/02/2023,12:00,07/02/2023,13:30,"1,5",QC/3115.3,,461-01 Reuni� de recerca Jordi Verdu,0, , 
07/02/2023,12:00,07/02/2023,14:00,2,QC/3115.2,,115-18 Curs Memenginy (Cristina Fernandez),0, , 
07/02/2023,15:00,07/02/2023,18:00,3,Q4/1003,,1268-20 TAV (MEUBA),0, , 
07/02/2023,15:00,07/02/2023,20:00,5,Q2/0007,,469-20 Curs Web Front End (SOC),0, , 
07/02/2023,15:30,07/02/2023,17:30,2,QC/0015,,115-19 Preparaci� programa alumne-tutor Albert Guisasola,0, , 
08/02/2023,10:00,08/02/2023,12:00,2,Q4/1013,,115-19 JPO 2023 Inf.iServeis (Tom�s Cerd�),0, , 
08/02/2023,10:00,08/02/2023,12:00,2,Q3/1011,,115-19 JPO 2023 Xerrada General,0, , 
08/02/2023,10:00,08/02/2023,12:00,2,Q3/1003,,115-19 JPO 2023 Xerrada General,0, , 
08/02/2023,10:00,08/02/2023,12:00,2,Q1/1011,,115-19 JPO 2023 Xerrada General,0, , 
08/02/2023,10:00,08/02/2023,12:00,2,Q3/1007,,115-19 JPO 2023 Xerrada General,0, , 
08/02/2023,10:00,08/02/2023,12:00,2,Q1/1003,,115-19 JPO 2023 Xerrada General,0, , 
08/02/2023,10:00,08/02/2023,12:00,2,Q1/1007,,115-19 JPO 2023 Xerrada General,0, , 
08/02/2023,10:00,08/02/2023,13:00,3,QC/0019,,2634-01 Xerrades compostatge en el marc del M�ster de la Red Esp,0, ,Xerrades compostatge en el marc del M�ster de la Red Espa�ola de Compostaje
08/02/2023,10:00,08/02/2023,13:00,3,QC/0015,,Activitat docent,0, , 
08/02/2023,10:30,08/02/2023,13:00,"2,5",Q1/0003,,1395-05 Lectura de tesi d'en Daniel Rivas,0, , 
08/02/2023,11:30,08/02/2023,14:00,"2,5",QC/0011,,447-01 Reuni� grup de recerca Francesc Valero,0, , 
08/02/2023,12:00,08/02/2023,13:30,"1,5",Q4/0011,,115-19 JPO 2023 GEET-GEST,0, , 
08/02/2023,12:00,08/02/2023,13:30,"1,5",Q2/1003,,115-19 JPO 2023 GED / o GEAeron�utica mirall,0, , 
08/02/2023,12:00,08/02/2023,13:30,"1,5",Q2/1009,,115-19 JPO 2023 GAeron�tica,0, , 
08/02/2023,12:00,08/02/2023,13:30,"1,5",Q4/1005,,115-19 JPO 2023 GCIS/Telecos mirall,0, , 
08/02/2023,12:00,08/02/2023,13:30,"1,5",Q2/1005,,115-19 JPO 2023 GAeron�tica mirall,0, , 
08/02/2023,12:00,08/02/2023,13:30,"1,5",Q3/0009,,115-19 JPO 2023 GEQ,0, , 
08/02/2023,12:00,08/02/2023,13:30,"1,5",Q4/1003,,115-19 JPO 2023 GEET-GEST  mirall,0, , 
08/02/2023,12:00,08/02/2023,13:30,"1,5",Q4/0003,,115-19 JPO 2023 GEET-GEST,0, , 
08/02/2023,12:00,08/02/2023,13:30,"1,5",Q3/0013,,115-19 JPO 2023 GEQ mirall,0, , 
08/02/2023,12:00,08/02/2023,13:30,"1,5",Q4/0007,,115-19 JPO 2023 GEET-GEST,0, , 
08/02/2023,12:00,08/02/2023,14:00,2,QC/3115.2,,115-18 Curs Memenginy (Cristina Fernandez),0, , 
08/02/2023,12:00,08/02/2023,14:00,2,Q3/1003,,115-19 JPO 2023 GEI,0, , 
08/02/2023,12:00,08/02/2023,14:00,2,Q1/1011,,115-19 JPO 2023 GIA,0, , 
08/02/2023,12:00,08/02/2023,14:00,2,Q2/1013,,115-19 JPO 2023 GEI - mirall,0, , 
08/02/2023,12:00,08/02/2023,14:00,2,Q4/1013,,115-19 JPO 2023 Inf.iServeis (Tom�s Cerd�),0, , 
08/02/2023,12:00,08/02/2023,14:00,2,Q3/1011,,115-19 JPO 2023 GEI,0, , 
08/02/2023,12:00,08/02/2023,14:00,2,Q3/1007,,115-19 JPO 2023 GEI,0, , 
08/02/2023,12:00,08/02/2023,14:00,2,Q4/1009,,115-19 JPO 2023 GCIS,0, , 
08/02/2023,12:00,08/02/2023,14:00,2,Q1/1007,,115-19 JPO 2023 GIA,0, , 
08/02/2023,12:00,08/02/2023,14:00,2,Q3/0003,,115-19 JPO 2023 GEQ,0, , 
08/02/2023,12:00,08/02/2023,14:30,"2,5",Q1/1003,,115-19 JPO 2023 GED,0, , 
08/02/2023,15:00,08/02/2023,17:00,2,Q4/1005,,1268- 20 BS (MUEBA),0, , 
08/02/2023,15:00,08/02/2023,18:00,3,Q4/1003,,1268-20 TAV (MEUBA),0, , 
09/02/2023,09:00,09/02/2023,10:00,1,QC/3115.5,,461-01 Reuni� Fecam UAB - Ramon Vilanova,0, , 
09/02/2023,10:00,09/02/2023,12:00,2,Q4/1013,,115-19 JPO 2023 Inf.iServeis (Tom�s Cerd�),0, , 
09/02/2023,10:00,09/02/2023,12:00,2,Q3/1011,,115-19 JPO 2023 Xerrada General,0, , 
09/02/2023,10:00,09/02/2023,12:00,2,Q3/1003,,115-19 JPO 2023 Xerrada General,0, , 
09/02/2023,10:00,09/02/2023,12:00,2,Q1/1011,,115-19 JPO 2023 Xerrada General,0, , 
09/02/2023,10:00,09/02/2023,12:00,2,Q3/1007,,115-19 JPO 2023 Xerrada General,0, , 
09/02/2023,10:00,09/02/2023,12:00,2,Q1/1003,,115-19 JPO 2023 Xerrada General,0, , 
09/02/2023,10:00,09/02/2023,12:00,2,Q1/1007,,115-19 JPO 2023 Xerrada General,0, , 
09/02/2023,10:00,09/02/2023,13:00,3,QC/0029,,2634-01 Reuni� de projecte,0, , 
09/02/2023,11:00,09/02/2023,13:00,2,Q1/0003,,2634-06 Assaig tesis doctoral Esther Molina (Adriana Artola),0, , 
09/02/2023,12:00,09/02/2023,13:30,"1,5",Q4/0003,,115-19 JPO 2023 GEET-GEST,0, , 
09/02/2023,12:00,09/02/2023,13:30,"1,5",Q3/0013,,115-19 JPO 2023 GEQ mirall,0, , 
09/02/2023,12:00,09/02/2023,13:30,"1,5",Q3/0009,,115-19 JPO 2023 GEQ,0, , 
09/02/2023,12:00,09/02/2023,13:30,"1,5",Q4/1003,,115-19 JPO 2023 GEET-GEST  mirall,0, , 
09/02/2023,12:00,09/02/2023,13:30,"1,5",Q4/1005,,115-19 JPO 2023 GCIS/Telecos mirall,0, , 
09/02/2023,12:00,09/02/2023,13:30,"1,5",Q4/0007,,115-19 JPO 2023 GEET-GEST,0, , 
09/02/2023,12:00,09/02/2023,13:30,"1,5",Q2/1009,,115-19 JPO 2023 GAeron�tica mirall,0, , 
09/02/2023,12:00,09/02/2023,13:30,"1,5",Q2/1003,,115-19 JPO 2023 GAeron�tica mirall,0, , 
09/02/2023,12:00,09/02/2023,13:30,"1,5",Q4/0011,,115-19 JPO 2023 GEET-GEST,0, , 
09/02/2023,12:00,09/02/2023,13:30,"1,5",Q2/1005,,115-19 JPO 2023 GAeron�tica mirall,0, , 
09/02/2023,12:00,09/02/2023,14:00,2,Q3/1003,,115-19 JPO 2023 GEI,0, , 
09/02/2023,12:00,09/02/2023,14:00,2,Q1/1011,,115-19 JPO 2023 GIA,0, , 
09/02/2023,12:00,09/02/2023,14:00,2,Q3/1011,,115-19 JPO 2023 GEI,0, , 
09/02/2023,12:00,09/02/2023,14:00,2,Q3/1007,,115-19 JPO 2023 GEI,0, , 
09/02/2023,12:00,09/02/2023,14:00,2,Q4/1009,,115-19 JPO 2023 GCIS,0, , 
09/02/2023,12:00,09/02/2023,14:00,2,Q2/1013,,115-19 JPO 2023 GAeron�tica,0, , 
09/02/2023,12:00,09/02/2023,14:00,2,Q4/1013,,115-19 JPO 2023 Inf.iServeis (Tom�s Cerd�),0, , 
09/02/2023,12:00,09/02/2023,14:00,2,Q3/0003,,115-19 JPO 2023 GEQ,0, , 
09/02/2023,12:00,09/02/2023,14:30,"2,5",Q1/1003,,115-19 JPO 2023 GED,0, , 
09/02/2023,15:00,09/02/2023,18:00,3,Q4/1003,,1268-20 TAV (MEUBA),0, , 
09/02/2023,15:00,09/02/2023,20:00,5,QC/3115.2,,115-18 Curs Memenginy (Cristina Fernandez),0, , 
09/02/2023,16:00,09/02/2023,17:00,1,QC/0019,,1461-20 Tutoria TFG Enginyeria Qu�mica,0, , 
09/02/2023,16:00,09/02/2023,17:30,"1,5",Q3/0003,,115-19 JPO 2023 GEQ,0, , 
09/02/2023,16:00,09/02/2023,17:30,"1,5",Q2/1013,,115-19 JPO 2023 GAeron�tica,0, , 
09/02/2023,16:00,09/02/2023,17:30,"1,5",Q4/0003,,115-19 JPO 2023 Inf.iServeis (Tom�s Cerd�),0, , 
09/02/2023,16:00,09/02/2023,17:30,"1,5",Q4/0011,,115-19 JPO 2023 GED,0, , 
09/02/2023,16:00,09/02/2023,17:30,"1,5",Q4/0007,,115-19 JPO 2023 GIA,0, , 
09/02/2023,16:00,09/02/2023,17:30,"1,5",Q1/1003,,115-19 JPO 2023 GEET-GEST,0, , 
09/02/2023,16:00,09/02/2023,18:00,2,Q4/1009,,115-19 JPO 2023 GCIS,0, , 
09/02/2023,16:00,09/02/2023,18:00,2,Q1/1011,,115-19 JPO 2023 GEI,0, , 
10/02/2023,08:00,10/02/2023,14:30,"6,5",QC/3115.1,,"463-20 Introducci� a la Sostenibilitat Ambiental, Ramon Vilanova",0, , 
10/02/2023,10:00,10/02/2023,12:00,2,Q1/0003,,471-20 Consell de deparment ordinadir DCC - Oriol Ramos,0, , 
10/02/2023,12:00,10/02/2023,14:00,2,QC/3115.2,,115-18 Curs Memenginy (Cristina Fernandez),0, , 
10/02/2023,13:30,10/02/2023,14:30,1,Q3/0013,6084 Enginyeria de Telecomunicaci� / Telecommunication Engineering,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
 , , , , ,Q3/0013,10088 Enginyeria Inform�tica i Enginyeria de Sistemes de Telecomunicaci�,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
 , , , , ,Q3/0013,10063 Enginyeria Electr�nica de Telecomunicaci�,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
 , , , , ,Q3/0013,10064 Enginyeria de Sistemes de Telecomunicaci�,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
 , , , , ,Q3/0013,10100 Enginyeria Electr�nica de Telecomunicaci� + Enginyeria de Sistemes de Telecomunicaci�,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
 , , , , ,Q3/0013,10089 Enginyeria Inform�tica i Enginyeria Electr�nica de Telecomunicaci�,102689 Components i Circuits Electr�nics - 311,Sense grup de matricula, , 
10/02/2023,15:00,10/02/2023,17:00,2,Q3/0013,10109 Enginyeria de Dades,104361 Aprenentatge Computacional - 811,54, , 
10/02/2023,15:00,10/02/2023,18:00,3,QC/3115.2,,115-18 Curs Memenginy (Cristina Fernandez),0, , 
10/02/2023,15:00,10/02/2023,18:00,3,Q4/1003,,1268-20 TAV (MEUBA),0, , 
13/02/2023,08:30,13/02/2023,09:30,1,Q3/0003,10065 Enginyeria Qu�mica,106050 Bases de l�Enginyeria Qu�mica - 212,Sense grup de matricula, , 
13/02/2023,08:30,13/02/2023,09:30,1,Q4/0011,10065 Enginyeria Qu�mica,106040 Matem�tiques - 211,Sense grup de matricula, , 
13/02/2023,08:30,13/02/2023,09:30,1,Q2/1013,10062 Enginyeria Inform�tica,103804 �tica per a l'Enginyeria - 410,67, , 
 , , , , ,Q2/1013,10089 Enginyeria Inform�tica i Enginyeria Electr�nica de Telecomunicaci�,103804 �tica per a l'Enginyeria - 410,67, , 
 , , , , ,Q2/1013,10088 Enginyeria Inform�tica i Enginyeria de Sistemes de Telecomunicaci�,103804 �tica per a l'Enginyeria - 410,67, , 
13/02/2023,08:30,13/02/2023,09:30,1,Q4/0003,10065 Enginyeria Qu�mica,102437 Disseny d'Equips i Resist�ncia de Materials - 21,75, , 
13/02/2023,08:30,13/02/2023,09:30,1,Q3/1003,10100 Enginyeria Electr�nica de Telecomunicaci� + Enginyeria de Sistemes de Telecomunicaci�,103795 �lgebra - 33,89, , 
 , , , , ,Q3/1003,10064 Enginyeria de Sistemes de Telecomunicaci�,103795 �lgebra - 33,89, , 
 , , , , ,Q3/1003,10063 Enginyeria Electr�nica de Telecomunicaci�,103795 �lgebra - 33,89, , 
13/02/2023,08:30,13/02/2023,09:30,1,Q1/1007,10089 Enginyeria Inform�tica i Enginyeria Electr�nica de Telecomunicaci�,102745 Legislaci� - 415,92, , 
 , , , , ,Q1/1007,10088 Enginyeria Inform�tica i Enginyeria de Sistemes de Telecomunicaci�,102745 Legislaci� - 415,92, , 
 , , , , ,Q1/1007,10062 Enginyeria Inform�tica,102745 Legislaci� - 415,92, , 
13/02/2023,08:30,13/02/2023,10:30,2,Q2/1009,10105 Gesti� de Ciutats Intel�ligents i Sostenibles,"104526 Demografia, Societat i Economia Urbana - 61",71, , 
13/02/2023,08:30,13/02/2023,10:30,2,Q4/1013,10109 Enginyeria de Dades,"104346 Processament de Senyal, Imatge i V�deo - 81",65, , 
13/02/2023,08:30,13/02/2023,10:30,2,Q3/0009,10062 Enginyeria Inform�tica,102743 Enginyeria del Software - 411,41, , 
 , , , , ,Q3/0009,10088 Enginyeria Inform�tica i Enginyeria de Sistemes de Telecomunicaci�,102743 Enginyeria del Software - 411,41, , 
 , , , , ,Q3/0009,10089 Enginyeria Inform�tica i Enginyeria Electr�nica de Telecomunicaci�,102743 Enginyeria del Software - 411,41, , 
